时间,IBI,SDNN
2025-08-17 13:27:38.848,720.00,45.16
2025-08-17 13:27:39.459,570.00,45.17
2025-08-17 13:27:41.340,640.00,44.38
2025-08-17 13:27:42.040,681.00,43.55
2025-08-17 13:27:42.696,729.00,42.81
2025-08-17 13:27:43.396,620.00,42.18
2025-08-17 13:27:44.271,670.00,41.51
2025-08-17 13:27:45.935,621.00,40.84
2025-08-17 13:27:46.590,589.00,41.97
2025-08-17 13:27:47.291,700.00,43.04
2025-08-17 13:27:47.991,710.00,43.57
2025-08-17 13:27:48.691,700.00,44.09
2025-08-17 13:27:49.346,700.00,44.54
2025-08-17 13:27:51.316,660.00,44.78
2025-08-17 13:27:55.561,620.00,45.11
2025-08-17 13:27:56.304,730.00,45.53
2025-08-17 13:27:56.960,720.00,45.22
2025-08-17 13:27:57.792,670.00,45.33
2025-08-17 13:27:58.491,710.00,45.56
2025-08-17 13:27:59.236,750.00,45.73
2025-08-17 13:28:00.023,770.00,46.00
2025-08-17 13:28:00.723,730.00,46.40
2025-08-17 13:28:01.510,700.00,46.56
2025-08-17 13:28:03.655,630.00,46.15
2025-08-17 13:28:04.136,730.00,45.68
2025-08-17 13:28:04.880,640.00,45.41
2025-08-17 13:28:05.535,710.00,45.15
2025-08-17 13:28:08.161,670.00,44.89
2025-08-17 13:28:08.861,690.00,44.61
2025-08-17 13:28:09.604,700.00,43.91
2025-08-17 13:28:10.173,600.00,43.63
2025-08-17 13:28:10.829,620.00,43.88
2025-08-17 13:28:11.442,660.00,44.21
2025-08-17 13:28:14.723,630.00,44.59
2025-08-17 13:28:15.424,700.00,44.63
2025-08-17 13:28:16.211,720.00,44.16
2025-08-17 13:28:16.781,580.00,43.87
2025-08-17 13:28:17.436,640.00,43.79
2025-08-17 13:28:18.268,710.00,44.14
2025-08-17 13:28:18.838,690.00,44.27
2025-08-17 13:28:19.537,700.00,44.23
2025-08-17 13:28:20.193,670.00,44.09
2025-08-17 13:28:21.111,696.00,43.96
2025-08-17 13:28:21.724,710.00,43.97
2025-08-17 13:28:22.424,700.00,44.33
2025-08-17 13:28:23.167,720.00,44.06
2025-08-17 13:28:25.705,610.00,43.65
2025-08-17 13:28:26.362,616.00,43.38
2025-08-17 13:28:27.062,690.00,42.92
2025-08-17 13:28:27.805,730.00,42.77
2025-08-17 13:28:28.506,720.00,42.97
2025-08-17 13:28:29.250,720.00,42.42
2025-08-17 13:28:29.906,641.00,41.90
2025-08-17 13:28:30.650,630.00,41.49
2025-08-17 13:28:31.262,670.00,41.25
2025-08-17 13:28:32.049,680.00,40.98
2025-08-17 13:28:32.750,740.00,40.97
2025-08-17 13:28:33.494,740.00,41.07
2025-08-17 13:28:35.462,670.00,41.09
2025-08-17 13:28:36.163,690.00,41.09
2025-08-17 13:28:36.907,710.00,41.22
2025-08-17 13:28:37.650,780.00,41.38
2025-08-17 13:28:38.439,700.00,41.01
2025-08-17 13:28:39.138,730.00,40.78
2025-08-17 13:28:40.188,760.00,40.56
2025-08-17 13:28:40.715,820.00,40.94
2025-08-17 13:28:41.587,710.00,41.83
2025-08-17 13:28:43.470,719.00,42.48
2025-08-17 13:28:44.301,760.00,42.65
2025-08-17 13:28:45.002,751.00,42.65
2025-08-17 13:28:45.788,779.00,42.62
2025-08-17 13:28:46.533,770.00,42.47
2025-08-17 13:28:47.364,760.00,42.20
2025-08-17 13:28:47.934,610.00,42.55
2025-08-17 13:28:48.589,630.00,43.29
2025-08-17 13:28:49.200,640.00,44.37
2025-08-17 13:28:49.902,580.00,45.94
2025-08-17 13:28:50.602,670.00,47.92
2025-08-17 13:28:51.302,610.00,50.16
2025-08-17 13:28:52.045,710.00,52.17
2025-08-17 13:28:54.189,700.00,53.08
2025-08-17 13:28:55.151,740.00,54.06
2025-08-17 13:28:55.633,730.00,55.31
2025-08-17 13:28:56.420,700.00,56.75
2025-08-17 13:28:57.121,710.00,58.22
2025-08-17 13:28:57.821,680.00,59.42
2025-08-17 13:28:58.345,640.00,60.28
2025-08-17 13:28:59.133,630.00,60.82
2025-08-17 13:28:59.745,690.00,60.62
2025-08-17 13:29:00.577,710.00,60.01
2025-08-17 13:29:01.101,690.00,59.02
2025-08-17 13:29:02.020,670.00,56.88
2025-08-17 13:29:02.501,680.00,54.66
2025-08-17 13:29:03.333,680.00,51.73
2025-08-17 13:29:03.815,669.00,48.89
2025-08-17 13:29:04.690,700.00,46.55
2025-08-17 13:29:05.259,720.00,44.01
2025-08-17 13:29:05.915,670.00,41.29
2025-08-17 13:29:06.615,690.00,38.69
2025-08-17 13:29:08.802,700.00,36.17
2025-08-17 13:29:09.502,676.00,33.98
2025-08-17 13:29:12.040,650.00,32.00
2025-08-17 13:29:12.784,626.00,30.36
2025-08-17 13:29:13.396,700.00,28.88
2025-08-17 13:29:14.183,691.00,27.36
2025-08-17 13:29:14.796,700.00,25.93
2025-08-17 13:29:15.671,680.00,25.06
2025-08-17 13:29:16.284,680.00,24.21
2025-08-17 13:29:18.384,710.00,23.85
2025-08-17 13:29:18.909,580.00,24.27
2025-08-17 13:29:19.740,690.00,24.66
2025-08-17 13:29:21.535,650.00,25.10
2025-08-17 13:29:22.321,650.00,25.74
2025-08-17 13:29:22.978,710.00,26.47
2025-08-17 13:29:23.766,666.00,27.20
2025-08-17 13:29:24.378,710.00,28.01
2025-08-17 13:29:27.004,660.00,28.88
2025-08-17 13:29:27.879,630.00,29.68
2025-08-17 13:29:28.403,700.00,30.45
2025-08-17 13:29:29.235,650.00,31.31
2025-08-17 13:29:29.716,650.00,32.10
2025-08-17 13:29:30.373,690.00,32.92
2025-08-17 13:29:31.029,630.00,33.82
2025-08-17 13:29:31.685,650.00,34.52
2025-08-17 13:29:32.385,720.00,34.14
2025-08-17 13:29:33.128,740.00,34.09
2025-08-17 13:29:33.960,790.00,34.79
2025-08-17 13:29:36.717,700.00,35.41
2025-08-17 13:29:39.911,640.00,36.03
2025-08-17 13:29:40.567,670.00,36.68
2025-08-17 13:29:41.222,630.00,37.32
2025-08-17 13:29:41.922,730.00,38.09
2025-08-17 13:29:42.842,750.00,38.94
2025-08-17 13:29:43.454,720.00,39.83
2025-08-17 13:29:45.643,700.00,40.62
2025-08-17 13:29:46.298,620.00,41.61
2025-08-17 13:29:48.530,700.00,42.58
2025-08-17 13:29:49.274,670.00,43.32
2025-08-17 13:29:49.973,646.00,44.20
2025-08-17 13:29:50.586,710.00,45.37
2025-08-17 13:29:51.287,700.00,46.14
