Time,IBI
58:43.0,673
58:44.1,742
58:44.9,723
58:45.5,693
58:46.2,655
58:46.9,673
58:47.6,695
58:48.3,703
58:49.0,712
58:49.6,683
58:50.3,673
58:51.0,692
58:51.7,713
58:52.5,743
58:53.1,693
58:53.8,683
58:54.5,695
58:55.2,713
58:55.9,695
58:56.6,652
58:57.3,693
58:58.0,703
58:59.3,674
59:00.0,673
59:00.7,693
59:01.4,702
59:02.1,683
59:02.7,645
59:03.4,673
59:04.1,683
59:04.7,692
59:05.4,663
59:06.1,653
59:06.7,674
59:07.4,683
59:08.1,713
59:08.8,703
59:09.5,673
59:10.2,664
59:10.8,693
59:11.5,703
59:12.2,665
59:12.8,653
59:13.5,662
59:14.2,673
59:14.9,695
59:15.6,703
59:16.9,662
59:17.6,653
59:18.2,672
59:18.9,675
59:19.6,683
59:20.2,643
59:20.9,682
59:21.6,703
59:22.3,723
59:23.0,682
59:23.7,703
59:24.4,733
59:25.1,703
59:25.8,683
59:26.5,702
59:27.2,703
59:27.9,693
59:28.6,652
59:29.2,673
59:29.9,683
59:30.6,682
59:31.3,683
59:32.0,713
59:32.7,722
59:33.4,673
59:34.0,675
59:34.7,703
59:35.5,713
59:36.1,695
59:36.8,673
59:37.5,685
59:38.2,695
59:38.9,703
59:39.6,673
59:40.2,674
59:40.9,683
59:41.6,693
59:42.3,682
59:43.0,704
59:43.7,745
59:44.4,733
59:45.1,672
59:45.8,713
59:46.5,703
59:47.2,692
59:47.9,673
59:48.5,663
59:49.2,662
59:49.9,703
59:50.6,713
59:51.3,695
59:52.0,673
59:52.7,695
59:53.4,703
59:54.1,722
59:54.8,673
59:55.4,693
59:56.1,692
59:56.8,713
59:57.5,673
59:58.2,682
59:58.9,703
59:59.6,705
00:00.3,663
00:00.9,685
00:01.6,713
00:03.0,672
00:03.7,683
00:04.4,693
00:05.1,702
00:05.8,663
00:06.4,683
00:07.1,692
00:07.8,693
00:08.5,675
00:09.2,693
00:09.9,735
00:10.6,724
00:11.3,694
00:12.0,693
00:12.7,743
00:13.5,773
00:14.3,753
00:15.0,693
00:15.7,705
00:16.4,733
00:17.1,743
00:17.8,672
00:18.5,663
00:19.1,673
00:19.8,692
00:20.5,713
00:21.3,733
00:22.0,723
00:22.7,693
00:23.3,672
00:24.1,723
00:24.8,713
00:25.5,715
00:26.2,683
00:26.8,682
00:27.5,703
00:28.2,713
00:28.9,695
00:29.6,663
00:30.3,672
00:30.9,683
00:31.7,713
00:32.4,723
00:33.1,693
00:33.8,715
00:34.5,733
00:35.2,722
00:35.9,693
00:36.6,723
00:37.4,733
00:38.1,703
00:38.7,664
00:39.4,663
00:40.1,673
00:40.7,695
00:41.4,703
00:42.2,722
00:42.8,683
00:43.5,663
00:44.2,702
00:44.9,714
00:45.6,684
00:46.2,653
00:46.9,663
00:47.6,682
00:48.3,723
00:49.7,683
00:50.4,713
00:51.1,725
00:51.9,733
00:52.5,675
00:53.2,693
00:53.9,715
00:54.6,663
00:55.3,684
00:56.0,683
00:56.6,693
00:57.3,662
00:57.9,643
00:58.5,572
00:59.2,652
00:59.9,663
01:00.5,622
01:01.2,673
01:01.9,692
