时间,IBI,SDNN
2025-08-24 17:15:54.263,780.00,78.99
2025-08-24 17:15:54.787,810.00,81.71
2025-08-24 17:15:55.662,870.00,84.29
2025-08-24 17:15:56.713,810.00,86.97
2025-08-24 17:15:57.281,780.00,88.14
2025-08-24 17:15:58.156,750.00,88.71
2025-08-24 17:15:58.725,710.00,89.18
2025-08-24 17:15:59.556,780.00,88.94
2025-08-24 17:16:00.343,830.00,87.66
2025-08-24 17:16:01.175,800.00,86.95
2025-08-24 17:16:02.224,740.00,86.65
2025-08-24 17:16:02.663,730.00,86.17
2025-08-24 17:16:03.626,800.00,85.49
2025-08-24 17:16:04.150,760.00,83.05
2025-08-24 17:16:05.112,820.00,79.01
2025-08-24 17:16:06.207,790.00,75.03
2025-08-24 17:16:06.557,730.00,71.22
2025-08-24 17:16:07.606,800.00,67.05
2025-08-24 17:16:08.001,700.00,63.10
2025-08-24 17:16:08.920,600.00,60.79
2025-08-24 17:16:09.356,750.00,58.67
2025-08-24 17:16:10.276,770.00,56.58
2025-08-24 17:16:10.975,860.00,55.27
2025-08-24 17:16:11.763,800.00,54.53
2025-08-24 17:16:12.552,770.00,53.76
2025-08-24 17:16:13.251,710.00,53.14
2025-08-24 17:16:14.038,710.00,52.61
2025-08-24 17:16:14.695,721.00,52.01
2025-08-24 17:16:15.745,809.00,52.40
2025-08-24 17:16:16.313,790.00,53.69
2025-08-24 17:16:17.145,800.00,55.00
2025-08-24 17:16:17.801,720.00,56.22
2025-08-24 17:16:18.545,700.00,57.91
2025-08-24 17:16:19.245,750.00,59.30
2025-08-24 17:16:20.076,810.00,58.53
2025-08-24 17:16:21.170,800.00,57.81
2025-08-24 17:16:21.652,770.00,57.17
2025-08-24 17:16:22.614,750.00,55.72
2025-08-24 17:16:23.051,660.00,54.76
2025-08-24 17:16:23.926,730.00,53.85
2025-08-24 17:16:24.584,790.00,52.86
2025-08-24 17:16:25.370,800.00,51.79
2025-08-24 17:16:26.157,770.00,50.67
2025-08-24 17:16:26.989,760.00,49.32
2025-08-24 17:16:27.602,720.00,48.10
2025-08-24 17:16:28.301,680.00,46.99
2025-08-24 17:16:28.915,620.00,46.54
2025-08-24 17:16:29.702,710.00,46.05
2025-08-24 17:16:30.708,740.00,45.65
2025-08-24 17:16:31.232,790.00,46.08
2025-08-24 17:16:32.065,790.00,46.43
2025-08-24 17:16:32.721,700.00,46.78
2025-08-24 17:16:33.509,700.00,47.63
2025-08-24 17:16:34.121,720.00,47.87
2025-08-24 17:16:34.908,780.00,48.19
2025-08-24 17:16:35.696,780.00,48.48
2025-08-24 17:16:36.483,760.00,48.63
2025-08-24 17:16:37.227,750.00,48.80
2025-08-24 17:16:37.928,720.00,49.06
2025-08-24 17:16:38.847,770.00,49.37
2025-08-24 17:16:39.502,820.00,49.68
2025-08-24 17:16:40.377,860.00,49.05
2025-08-24 17:16:41.208,810.00,48.43
2025-08-24 17:16:42.040,841.00,48.02
2025-08-24 17:16:43.002,759.00,47.71
2025-08-24 17:16:43.615,820.00,47.53
2025-08-24 17:16:44.359,730.00,47.18
2025-08-24 17:16:45.059,710.00,46.74
2025-08-24 17:16:45.759,600.00,47.63
2025-08-24 17:16:46.590,811.00,48.50
2025-08-24 17:16:47.335,769.00,49.40
2025-08-24 17:16:48.254,800.00,50.50
2025-08-24 17:16:48.909,751.00,51.65
2025-08-24 17:16:49.741,749.00,52.75
2025-08-24 17:16:50.353,700.00,53.97
2025-08-24 17:16:51.140,740.00,54.95
2025-08-24 17:16:51.841,720.00,55.88
2025-08-24 17:16:52.540,610.00,57.37
2025-08-24 17:16:53.111,600.00,58.84
2025-08-24 17:16:53.897,660.00,60.40
2025-08-24 17:16:54.509,760.00,61.57
2025-08-24 17:16:55.297,780.00,63.04
2025-08-24 17:16:56.041,770.00,64.65
2025-08-24 17:16:56.829,780.00,64.70
2025-08-24 17:16:57.617,770.00,64.51
2025-08-24 17:16:58.361,711.00,64.28
2025-08-24 17:16:58.885,579.00,64.49
2025-08-24 17:16:59.585,680.00,64.68
2025-08-24 17:17:00.285,710.00,64.87
2025-08-24 17:17:01.030,740.00,64.93
2025-08-24 17:17:01.772,750.00,65.10
2025-08-24 17:17:02.647,800.00,65.84
2025-08-24 17:17:03.480,770.00,65.75
2025-08-24 17:17:04.135,770.00,64.91
2025-08-24 17:17:04.835,720.00,63.77
2025-08-24 17:17:05.668,740.00,62.90
2025-08-24 17:17:06.235,560.00,62.88
2025-08-24 17:17:06.979,750.00,62.73
2025-08-24 17:17:07.592,720.00,62.91
2025-08-24 17:17:08.380,770.00,63.27
2025-08-24 17:17:09.210,840.00,64.12
2025-08-24 17:17:09.954,750.00,63.73
2025-08-24 17:17:10.785,810.00,63.39
2025-08-24 17:17:11.662,690.00,63.17
2025-08-24 17:17:12.185,740.00,62.92
2025-08-24 17:17:13.017,730.00,62.65
2025-08-24 17:17:13.673,730.00,62.00
2025-08-24 17:17:14.374,660.00,61.82
2025-08-24 17:17:15.073,740.00,62.14
2025-08-24 17:17:15.861,780.00,62.77
2025-08-24 17:17:16.692,840.00,63.78
2025-08-24 17:17:17.481,820.00,62.64
2025-08-24 17:17:18.487,800.00,61.63
2025-08-24 17:17:19.056,770.00,60.66
2025-08-24 17:17:19.843,710.00,59.80
2025-08-24 17:17:20.456,690.00,58.38
2025-08-24 17:17:21.244,761.00,57.74
2025-08-24 17:17:22.074,809.00,57.08
2025-08-24 17:17:22.861,810.00,56.29
2025-08-24 17:17:23.912,820.00,55.62
2025-08-24 17:17:24.436,780.00,54.90
2025-08-24 17:17:25.269,790.00,54.25
2025-08-24 17:17:26.055,760.00,52.79
2025-08-24 17:17:26.712,690.00,51.70
2025-08-24 17:17:27.368,640.00,51.28
2025-08-24 17:17:28.112,710.00,50.36
2025-08-24 17:17:28.987,820.00,50.59
2025-08-24 17:17:29.644,740.00,50.69
2025-08-24 17:17:30.737,760.00,50.85
2025-08-24 17:17:31.218,820.00,50.98
2025-08-24 17:17:32.094,760.00,51.01
2025-08-24 17:17:32.751,740.00,51.05
2025-08-24 17:17:33.581,751.00,51.01
2025-08-24 17:17:34.237,719.00,50.95
2025-08-24 17:17:34.982,740.00,50.55
2025-08-24 17:17:35.681,680.00,50.34
2025-08-24 17:17:36.381,690.00,50.16
2025-08-24 17:17:36.994,620.00,51.11
2025-08-24 17:17:37.693,710.00,51.70
2025-08-24 17:17:38.482,810.00,51.44
2025-08-24 17:17:39.313,800.00,51.42
2025-08-24 17:17:40.232,880.00,51.89
2025-08-24 17:17:40.931,750.00,52.43
2025-08-24 17:17:41.806,810.00,53.10
2025-08-24 17:17:42.551,760.00,53.51
2025-08-24 17:17:43.250,740.00,54.15
2025-08-24 17:17:44.344,730.00,54.77
2025-08-24 17:17:44.518,540.00,56.74
2025-08-24 17:17:45.219,700.00,58.79
2025-08-24 17:17:45.963,730.00,61.07
2025-08-24 17:17:46.750,720.00,63.13
2025-08-24 17:17:47.407,729.00,65.16
2025-08-24 17:17:48.413,740.00,66.28
2025-08-24 17:17:48.895,779.00,67.44
2025-08-24 17:17:49.769,770.00,68.59
2025-08-24 17:17:50.513,810.00,69.67
2025-08-24 17:17:51.301,790.00,69.72
2025-08-24 17:17:52.088,790.00,69.84
2025-08-24 17:17:52.832,750.00,69.68
2025-08-24 17:17:53.576,770.00,69.71
2025-08-24 17:17:54.321,710.00,69.77
2025-08-24 17:17:55.238,790.00,69.91
2025-08-24 17:17:55.894,745.00,66.77
2025-08-24 17:17:56.683,790.00,63.44
2025-08-24 17:17:57.514,820.00,60.26
2025-08-24 17:17:58.258,760.00,56.99
2025-08-24 17:17:59.001,750.00,53.68
2025-08-24 17:17:59.745,740.00,50.78
2025-08-24 17:18:00.664,691.00,48.31
2025-08-24 17:18:01.014,519.00,48.34
2025-08-24 17:18:01.670,670.00,48.37
2025-08-24 17:18:02.414,781.00,48.92
2025-08-24 17:18:03.290,789.00,49.39
2025-08-24 17:18:03.945,750.00,50.04
2025-08-24 17:18:04.864,780.00,50.68
2025-08-24 17:18:05.477,760.00,51.28
2025-08-24 17:18:06.220,750.00,51.72
2025-08-24 17:18:06.920,700.00,54.22
2025-08-24 17:18:07.665,721.00,56.80
2025-08-24 17:18:08.234,589.00,59.52
2025-08-24 17:18:09.022,720.00,62.35
2025-08-24 17:18:09.677,660.00,65.30
2025-08-24 17:18:10.377,740.00,68.26
2025-08-24 17:18:11.121,750.00,70.84
2025-08-24 17:18:11.909,780.00,69.72
2025-08-24 17:18:12.958,790.00,68.53
2025-08-24 17:18:13.571,780.00,67.37
2025-08-24 17:18:14.358,750.00,66.09
2025-08-24 17:18:14.972,750.00,64.82
2025-08-24 17:18:15.715,770.00,63.49
2025-08-24 17:18:16.503,750.00,62.16
2025-08-24 17:18:17.246,760.00,60.92
2025-08-24 17:18:18.078,740.00,59.58
2025-08-24 17:18:18.736,700.00,58.38
2025-08-24 17:18:19.434,700.00,55.79
2025-08-24 17:18:20.046,680.00,53.47
2025-08-24 17:18:20.790,670.00,51.02
2025-08-24 17:18:21.578,710.00,48.62
2025-08-24 17:18:22.584,780.00,46.28
2025-08-24 17:18:23.021,810.00,45.43
2025-08-24 17:18:23.941,780.00,44.56
2025-08-24 17:18:24.640,810.00,43.87
2025-08-24 17:18:25.385,750.00,43.28
2025-08-24 17:18:26.128,730.00,42.71
2025-08-24 17:18:26.916,760.00,42.14
2025-08-24 17:18:27.616,770.00,41.63
2025-08-24 17:18:28.447,710.00,41.14
2025-08-24 17:18:29.366,710.00,40.74
2025-08-24 17:18:29.803,651.00,40.59
2025-08-24 17:18:30.722,700.00,41.54
2025-08-24 17:18:31.292,730.00,42.13
2025-08-24 17:18:32.122,770.00,42.60
2025-08-24 17:18:32.823,820.00,43.20
2025-08-24 17:18:33.785,780.00,43.71
2025-08-24 17:18:34.442,820.00,44.09
2025-08-24 17:18:35.274,750.00,44.49
2025-08-24 17:18:36.193,730.00,44.55
2025-08-24 17:18:36.630,730.00,44.61
2025-08-24 17:18:37.505,696.00,44.77
2025-08-24 17:18:38.204,730.00,44.94
2025-08-24 17:18:38.947,680.00,45.17
2025-08-24 17:18:39.429,670.00,45.54
2025-08-24 17:18:40.216,720.00,45.84
2025-08-24 17:18:40.917,730.00,45.52
2025-08-24 17:18:41.704,790.00,45.24
2025-08-24 17:18:42.448,760.00,45.12
2025-08-24 17:18:43.192,741.00,45.18
2025-08-24 17:18:43.892,719.00,44.72
2025-08-24 17:18:44.723,800.00,44.39
2025-08-24 17:18:45.685,720.00,43.57
2025-08-24 17:18:46.079,660.00,43.05
2025-08-24 17:18:46.998,700.00,42.74
2025-08-24 17:18:47.480,640.00,42.75
2025-08-24 17:18:48.004,560.00,43.67
2025-08-24 17:18:48.660,680.00,44.60
2025-08-24 17:18:49.537,810.00,45.76
2025-08-24 17:18:50.323,830.00,47.11
2025-08-24 17:18:51.112,810.00,48.68
2025-08-24 17:18:52.029,855.00,51.03
2025-08-24 17:18:52.729,710.00,53.26
2025-08-24 17:18:53.517,780.00,55.53
2025-08-24 17:18:54.304,800.00,57.95
2025-08-24 17:18:55.092,750.00,60.68
2025-08-24 17:18:55.792,730.00,63.19
2025-08-24 17:18:56.448,680.00,66.20
2025-08-24 17:18:57.017,570.00,69.50
2025-08-24 17:18:57.937,630.00,72.98
2025-08-24 17:18:58.462,730.00,75.94
2025-08-24 17:18:59.205,700.00,77.12
2025-08-24 17:18:59.905,780.00,78.23
2025-08-24 17:19:00.780,850.00,79.20
2025-08-24 17:19:01.656,850.00,79.93
2025-08-24 17:19:02.443,811.00,80.45
2025-08-24 17:19:03.362,799.00,80.28
2025-08-24 17:19:04.018,760.00,80.15
2025-08-24 17:19:04.805,790.00,79.99
2025-08-24 17:19:05.549,770.00,79.65
2025-08-24 17:19:06.337,770.00,79.34
2025-08-24 17:19:07.168,810.00,79.23
2025-08-24 17:19:07.912,710.00,78.93
2025-08-24 17:19:08.831,710.00,76.96
2025-08-24 17:19:09.313,720.00,74.07
2025-08-24 17:19:10.187,670.00,71.73
2025-08-24 17:19:10.669,690.00,70.24
2025-08-24 17:19:11.588,760.00,68.79
2025-08-24 17:19:12.244,780.00,66.84
2025-08-24 17:19:12.988,770.00,64.37
2025-08-24 17:19:13.775,770.00,61.73
2025-08-24 17:19:14.562,800.00,59.36
2025-08-24 17:19:15.350,780.00,57.05
2025-08-24 17:19:16.050,710.00,54.73
2025-08-24 17:19:16.794,700.00,52.56
2025-08-24 17:19:17.451,700.00,50.42
2025-08-24 17:19:18.370,670.00,48.09
2025-08-24 17:19:18.807,700.00,45.90
2025-08-24 17:19:19.726,780.00,44.93
2025-08-24 17:19:20.426,810.00,44.92
2025-08-24 17:19:21.213,810.00,44.49
2025-08-24 17:19:22.000,790.00,43.89
2025-08-24 17:19:22.875,810.00,43.43
2025-08-24 17:19:23.619,770.00,43.27
2025-08-24 17:19:24.363,750.00,43.51
2025-08-24 17:19:25.194,760.00,43.92
2025-08-24 17:19:25.851,760.00,44.21
2025-08-24 17:19:26.595,720.00,44.48
2025-08-24 17:19:27.339,741.00,44.66
2025-08-24 17:19:28.038,709.00,44.73
2025-08-24 17:19:28.738,710.00,44.69
2025-08-24 17:19:29.350,550.00,46.15
2025-08-24 17:19:29.920,550.00,48.65
2025-08-24 17:19:30.707,640.00,51.20
2025-08-24 17:19:31.232,660.00,53.38
2025-08-24 17:19:32.020,760.00,55.41
2025-08-24 17:19:32.851,840.00,57.84
2025-08-24 17:19:33.682,880.00,60.60
2025-08-24 17:19:34.776,890.00,63.99
2025-08-24 17:19:35.477,850.00,67.69
2025-08-24 17:19:36.263,840.00,71.61
2025-08-24 17:19:37.096,830.00,75.79
2025-08-24 17:19:37.927,800.00,80.00
2025-08-24 17:19:39.107,780.00,84.30
2025-08-24 17:19:39.457,740.00,88.61
2025-08-24 17:19:40.201,680.00,93.04
2025-08-24 17:19:40.682,570.00,95.91
2025-08-24 17:19:41.384,620.00,97.19
2025-08-24 17:19:42.083,700.00,98.07
2025-08-24 17:19:42.958,760.00,98.80
2025-08-24 17:19:43.658,830.00,99.81
2025-08-24 17:19:44.533,870.00,100.65
2025-08-24 17:19:45.539,850.00,100.90
2025-08-24 17:19:46.239,831.00,100.28
2025-08-24 17:19:47.072,839.00,99.30
2025-08-24 17:19:47.859,800.00,98.01
2025-08-24 17:19:48.690,811.00,96.51
2025-08-24 17:19:49.391,729.00,94.96
2025-08-24 17:19:50.133,720.00,93.43
2025-08-24 17:19:50.790,670.00,92.10
2025-08-24 17:19:51.446,630.00,90.95
2025-08-24 17:19:52.146,730.00,89.08
2025-08-24 17:19:53.022,830.00,87.21
2025-08-24 17:19:53.896,880.00,85.71
2025-08-24 17:19:54.771,900.00,84.82
2025-08-24 17:19:55.734,980.00,84.68
2025-08-24 17:19:56.521,740.00,84.40
2025-08-24 17:19:57.309,840.00,84.22
2025-08-24 17:19:58.140,801.00,84.27
2025-08-24 17:19:58.884,769.00,84.31
2025-08-24 17:19:59.672,710.00,84.60
2025-08-24 17:20:00.196,590.00,85.71
2025-08-24 17:20:00.896,710.00,86.86
2025-08-24 17:20:01.642,700.00,88.04
2025-08-24 17:20:02.471,820.00,88.87
2025-08-24 17:20:03.391,900.00,89.23
2025-08-24 17:20:04.222,850.00,90.42
2025-08-24 17:20:05.097,880.00,92.25
2025-08-24 17:20:06.147,830.00,93.84
2025-08-24 17:20:06.716,790.00,94.85
2025-08-24 17:20:07.547,760.00,94.07
2025-08-24 17:20:08.203,700.00,93.45
2025-08-24 17:20:08.903,700.00,92.87
2025-08-24 17:20:09.559,690.00,92.43
2025-08-24 17:20:10.304,740.00,92.04
2025-08-24 17:20:11.135,810.00,91.51
2025-08-24 17:20:11.966,850.00,89.40
2025-08-24 17:20:12.798,830.00,87.13
2025-08-24 17:20:13.673,850.00,84.62
2025-08-24 17:20:14.504,850.00,82.33
2025-08-24 17:20:15.292,800.00,79.92
2025-08-24 17:20:16.122,810.00,77.45
2025-08-24 17:20:16.910,770.00,74.55
2025-08-24 17:20:17.611,720.00,71.82
2025-08-24 17:20:18.310,710.00,69.50
2025-08-24 17:20:18.967,640.00,68.72
2025-08-24 17:20:19.755,596.00,68.54
2025-08-24 17:20:20.367,700.00,68.34
2025-08-24 17:20:21.154,810.00,67.95
2025-08-24 17:20:21.985,830.00,67.64
2025-08-24 17:20:22.860,830.00,67.39
2025-08-24 17:20:23.648,800.00,67.79
2025-08-24 17:20:24.436,800.00,68.24
2025-08-24 17:20:26.755,750.00,68.67
2025-08-24 17:20:27.499,720.00,68.80
2025-08-24 17:20:28.198,690.00,69.32
2025-08-24 17:20:28.811,630.00,70.16
2025-08-24 17:20:29.512,600.00,71.73
2025-08-24 17:20:30.168,680.00,73.30
2025-08-24 17:20:30.912,710.00,74.70
2025-08-24 17:20:31.655,780.00,75.41
2025-08-24 17:20:32.486,790.00,74.90
2025-08-24 17:20:33.318,790.00,74.39
2025-08-24 17:20:34.061,801.00,73.93
2025-08-24 17:20:34.806,769.00,73.17
2025-08-24 17:20:35.593,790.00,72.16
2025-08-24 17:20:36.380,750.00,71.18
2025-08-24 17:20:37.124,750.00,70.13
2025-08-24 17:20:37.825,710.00,69.30
2025-08-24 17:20:38.525,690.00,68.76
2025-08-24 17:20:39.093,570.00,68.97
2025-08-24 17:20:39.793,675.00,68.75
2025-08-24 17:20:40.538,730.00,67.55
2025-08-24 17:20:41.543,800.00,66.33
2025-08-24 17:20:43.687,810.00,65.22
