时间,IBI,SDNN
2025-08-26 11:19:59.883,810.00,55.77
2025-08-26 11:20:00.714,850.00,56.02
2025-08-26 11:20:01.499,830.00,56.22
2025-08-26 11:20:02.331,790.00,54.41
2025-08-26 11:20:03.120,800.00,52.11
2025-08-26 11:20:04.040,830.00,49.91
2025-08-26 11:20:04.741,820.00,47.76
2025-08-26 11:20:05.481,760.00,45.83
2025-08-26 11:20:06.314,810.00,43.88
2025-08-26 11:20:07.322,780.00,41.77
2025-08-26 11:20:07.799,730.00,39.92
2025-08-26 11:20:08.630,820.00,37.90
2025-08-26 11:20:09.548,840.00,36.11
2025-08-26 11:20:10.386,820.00,34.15
2025-08-26 11:20:11.085,770.00,32.71
2025-08-26 11:20:11.826,760.00,31.75
2025-08-26 11:20:12.615,760.00,30.71
2025-08-26 11:20:13.403,780.00,29.66
2025-08-26 11:20:14.232,850.00,29.81
2025-08-26 11:20:15.062,850.00,30.56
2025-08-26 11:20:15.850,790.00,31.24
2025-08-26 11:20:16.859,800.00,31.94
2025-08-26 11:20:17.386,730.00,32.58
2025-08-26 11:20:18.478,760.00,33.26
2025-08-26 11:20:19.004,800.00,33.97
2025-08-26 11:20:19.746,790.00,34.11
2025-08-26 11:20:20.708,800.00,34.36
2025-08-26 11:20:21.276,760.00,34.39
2025-08-26 11:20:22.018,750.00,34.56
2025-08-26 11:20:22.854,760.00,34.67
2025-08-26 11:20:23.638,780.00,34.62
2025-08-26 11:20:24.471,820.00,34.69
2025-08-26 11:20:25.258,820.00,34.91
2025-08-26 11:20:26.091,840.00,34.83
2025-08-26 11:20:26.877,770.00,34.31
2025-08-26 11:20:27.664,800.00,33.88
2025-08-26 11:20:28.673,811.00,33.51
2025-08-26 11:20:29.284,799.00,32.70
2025-08-26 11:20:30.117,810.00,31.79
2025-08-26 11:20:30.947,760.00,30.97
2025-08-26 11:20:31.648,780.00,30.40
2025-08-26 11:20:32.522,820.00,29.93
2025-08-26 11:20:33.225,790.00,29.47
2025-08-26 11:20:34.054,830.00,28.91
2025-08-26 11:20:34.928,870.00,28.55
2025-08-26 11:20:35.801,780.00,28.22
2025-08-26 11:20:36.591,830.00,27.89
2025-08-26 11:20:37.424,820.00,27.51
2025-08-26 11:20:38.212,850.00,27.25
2025-08-26 11:20:39.084,840.00,27.20
2025-08-26 11:20:40.001,840.00,27.17
2025-08-26 11:20:40.661,780.00,27.20
2025-08-26 11:20:41.623,840.00,27.52
2025-08-26 11:20:42.368,790.00,27.95
2025-08-26 11:20:43.240,800.00,28.07
2025-08-26 11:20:43.899,790.00,28.13
2025-08-26 11:20:44.991,740.00,28.55
2025-08-26 11:20:45.387,800.00,29.03
2025-08-26 11:20:46.171,770.00,29.69
2025-08-26 11:20:47.006,710.00,30.40
2025-08-26 11:20:47.789,770.00,31.14
2025-08-26 11:20:48.447,780.00,31.80
2025-08-26 11:20:49.411,860.00,32.66
2025-08-26 11:20:50.109,800.00,33.30
2025-08-26 11:20:50.987,850.00,34.05
2025-08-26 11:20:51.992,820.00,34.69
2025-08-26 11:20:52.649,860.00,35.44
2025-08-26 11:20:53.565,860.00,36.28
2025-08-26 11:20:54.397,810.00,37.07
2025-08-26 11:20:55.184,800.00,38.08
2025-08-26 11:20:55.884,800.00,39.13
2025-08-26 11:20:56.847,830.00,39.58
2025-08-26 11:20:57.636,800.00,40.05
2025-08-26 11:20:58.468,780.00,40.39
2025-08-26 11:20:59.430,840.00,39.82
2025-08-26 11:20:59.912,780.00,39.17
2025-08-26 11:21:00.876,860.00,38.56
2025-08-26 11:21:01.661,730.00,38.18
2025-08-26 11:21:02.362,800.00,37.96
2025-08-26 11:21:03.324,781.00,37.66
2025-08-26 11:21:03.976,829.00,37.46
2025-08-26 11:21:04.942,820.00,36.88
2025-08-26 11:21:05.601,850.00,36.13
2025-08-26 11:21:08.181,830.00,35.42
2025-08-26 11:21:08.968,780.00,34.76
2025-08-26 11:21:09.668,790.00,34.11
2025-08-26 11:21:10.587,790.00,33.64
2025-08-26 11:21:11.547,820.00,33.18
2025-08-26 11:21:12.203,830.00,32.75
2025-08-26 11:21:13.037,860.00,33.05
2025-08-26 11:21:13.999,800.00,33.36
2025-08-26 11:21:14.657,810.00,33.51
2025-08-26 11:21:15.750,820.00,32.70
2025-08-26 11:21:16.449,830.00,31.89
2025-08-26 11:21:17.103,820.00,30.97
2025-08-26 11:21:17.895,830.00,30.04
2025-08-26 11:21:18.724,830.00,29.28
2025-08-26 11:21:19.554,810.00,28.49
2025-08-26 11:21:20.473,780.00,27.76
2025-08-26 11:21:21.437,800.00,26.89
2025-08-26 11:21:22.007,810.00,25.93
2025-08-26 11:21:22.705,790.00,24.99
2025-08-26 11:21:23.538,780.00,24.18
2025-08-26 11:21:24.325,780.00,23.44
2025-08-26 11:21:25.244,790.00,22.33
2025-08-26 11:21:25.812,770.00,21.40
2025-08-26 11:21:26.641,800.00,20.65
2025-08-26 11:21:27.430,820.00,20.43
2025-08-26 11:21:28.264,790.00,20.12
2025-08-26 11:21:29.051,741.00,20.23
2025-08-26 11:21:29.705,739.00,20.47
2025-08-26 11:21:30.495,740.00,20.70
2025-08-26 11:21:31.281,810.00,21.03
2025-08-26 11:21:32.028,790.00,21.26
2025-08-26 11:21:32.901,830.00,21.75
2025-08-26 11:21:33.690,820.00,22.36
2025-08-26 11:21:34.562,770.00,22.98
2025-08-26 11:21:35.175,730.00,23.68
2025-08-26 11:21:35.964,740.00,24.42
2025-08-26 11:21:36.796,790.00,25.44
2025-08-26 11:21:37.449,740.00,26.40
