时间,IBI,SDNN
2025-08-26 13:42:29.496,790.00,39.59
2025-08-26 13:42:30.309,760.00,39.70
2025-08-26 13:42:30.967,740.00,40.43
2025-08-26 13:42:31.751,790.00,40.83
2025-08-26 13:42:32.539,800.00,41.25
2025-08-26 13:42:33.460,850.00,41.33
2025-08-26 13:42:34.205,720.00,41.72
2025-08-26 13:42:34.904,730.00,42.46
2025-08-26 13:42:35.560,710.00,42.60
2025-08-26 13:42:36.389,790.00,42.69
2025-08-26 13:42:37.092,630.00,43.60
2025-08-26 13:42:37.792,830.00,44.48
2025-08-26 13:42:38.535,750.00,45.14
2025-08-26 13:42:39.368,800.00,45.71
2025-08-26 13:42:40.198,760.00,46.25
2025-08-26 13:42:40.983,700.00,46.91
2025-08-26 13:42:41.948,710.00,47.59
2025-08-26 13:42:42.646,880.00,48.73
2025-08-26 13:42:43.480,790.00,50.07
2025-08-26 13:42:44.179,750.00,51.45
2025-08-26 13:42:44.922,740.00,52.77
2025-08-26 13:42:45.668,740.00,53.90
2025-08-26 13:42:46.543,739.00,54.90
2025-08-26 13:42:47.241,781.00,55.82
2025-08-26 13:42:48.118,839.00,57.05
2025-08-26 13:42:48.814,770.00,56.71
2025-08-26 13:42:49.645,790.00,56.05
2025-08-26 13:42:50.434,790.00,55.41
2025-08-26 13:42:51.221,780.00,54.85
2025-08-26 13:42:52.054,811.00,54.41
2025-08-26 13:42:52.842,789.00,53.56
2025-08-26 13:42:53.675,780.00,52.33
2025-08-26 13:42:54.329,760.00,49.90
2025-08-26 13:42:55.116,790.00,47.47
2025-08-26 13:42:55.861,740.00,45.14
2025-08-26 13:42:56.647,810.00,43.09
2025-08-26 13:42:57.522,770.00,40.93
2025-08-26 13:42:58.264,810.00,38.65
2025-08-26 13:42:59.009,690.00,37.14
2025-08-26 13:42:59.756,740.00,35.26
2025-08-26 13:43:00.541,780.00,34.17
2025-08-26 13:43:01.285,760.00,33.23
2025-08-26 13:43:02.073,790.00,32.28
2025-08-26 13:43:03.079,850.00,31.74
2025-08-26 13:43:03.826,890.00,31.73
