时间,IBI,SDNN
2025-08-19 15:45:11.030,780.00,53.86
2025-08-19 15:45:11.845,890.00,51.11
2025-08-19 15:45:12.764,910.00,51.69
2025-08-19 15:45:13.639,880.00,52.81
2025-08-19 15:45:14.516,870.00,53.83
2025-08-19 15:46:02.726,600.00,55.77
2025-08-19 15:46:22.021,690.00,57.99
2025-08-19 15:46:22.901,860.00,60.53
2025-08-19 15:46:23.468,570.00,64.00
2025-08-19 15:46:38.450,750.00,67.68
2025-08-19 15:46:39.217,810.00,71.20
2025-08-19 15:46:40.138,960.00,75.40
2025-08-19 15:46:40.926,780.00,79.52
2025-08-19 15:46:43.725,650.00,84.12
2025-08-19 15:46:48.451,790.00,88.12
2025-08-19 15:46:51.121,660.00,92.49
2025-08-19 15:46:51.906,790.00,96.18
2025-08-19 15:46:52.695,810.00,99.05
2025-08-19 15:46:53.393,710.00,101.41
2025-08-19 15:46:54.138,670.00,103.44
2025-08-19 15:46:54.880,740.00,104.00
2025-08-19 15:46:55.624,750.00,104.27
2025-08-19 15:46:56.368,770.00,104.22
2025-08-19 15:46:57.112,686.00,102.40
2025-08-19 15:47:02.103,640.00,100.93
2025-08-19 15:47:02.755,670.00,99.59
2025-08-19 15:47:03.546,790.00,96.12
2025-08-19 15:47:07.177,780.00,92.79
2025-08-19 15:47:08.006,810.00,89.03
2025-08-19 15:47:08.753,720.00,85.28
2025-08-19 15:47:09.453,740.00,81.02
2025-08-19 15:47:10.152,680.00,77.00
2025-08-19 15:47:15.925,720.00,73.07
2025-08-19 15:47:16.670,751.00,69.40
2025-08-19 15:47:17.370,689.00,65.86
2025-08-19 15:47:18.158,700.00,62.82
2025-08-19 15:47:18.902,740.00,59.86
2025-08-19 15:47:24.436,650.00,57.31
2025-08-19 15:47:32.948,700.00,55.52
2025-08-19 15:47:45.697,710.00,53.06
2025-08-19 15:47:46.469,770.00,50.51
2025-08-19 15:47:55.390,780.00,49.44
2025-08-19 15:47:56.224,810.00,48.58
2025-08-19 15:47:59.595,861.00,48.22
2025-08-19 15:48:02.873,700.00,48.01
2025-08-19 15:48:03.617,680.00,48.14
2025-08-19 15:48:04.404,790.00,48.28
2025-08-19 15:48:05.193,800.00,48.86
2025-08-19 15:48:05.982,780.00,49.47
2025-08-19 15:48:06.813,760.00,50.04
2025-08-19 15:48:07.597,750.00,50.48
2025-08-19 15:48:08.297,730.00,50.96
2025-08-19 15:48:09.001,670.00,51.15
2025-08-19 15:48:09.745,700.00,51.37
2025-08-19 15:48:10.446,740.00,51.82
2025-08-19 15:48:14.076,700.00,52.45
2025-08-19 15:48:14.821,680.00,53.28
2025-08-19 15:48:15.606,690.00,53.80
2025-08-19 15:48:16.396,700.00,53.08
2025-08-19 15:48:17.137,790.00,52.48
2025-08-19 15:48:17.971,800.00,51.84
2025-08-19 15:48:18.758,790.00,51.19
2025-08-19 15:48:19.545,780.00,50.29
2025-08-19 15:48:20.242,700.00,49.30
2025-08-19 15:48:23.833,710.00,48.41
2025-08-19 15:48:24.621,760.00,47.65
2025-08-19 15:48:25.404,810.00,47.18
