时间,IBI,SDNN
2025-08-22 13:41:54.106,780.00,41.59
2025-08-22 13:41:55.071,840.00,42.54
2025-08-22 13:41:56.027,770.00,43.50
2025-08-22 13:41:56.643,850.00,44.77
2025-08-22 13:41:57.564,810.00,46.02
2025-08-22 13:41:58.310,830.00,47.17
2025-08-22 13:41:59.268,720.00,47.97
2025-08-22 13:42:00.228,730.00,48.98
2025-08-22 13:42:00.536,620.00,50.98
2025-08-22 13:42:01.546,760.00,52.93
2025-08-22 13:42:02.068,760.00,53.79
2025-08-22 13:42:02.941,770.00,54.62
2025-08-22 13:42:05.659,830.00,54.95
2025-08-22 13:42:08.607,760.00,55.28
2025-08-22 13:42:09.246,740.00,55.64
2025-08-22 13:42:14.498,740.00,56.19
2025-08-22 13:42:15.373,730.00,56.41
2025-08-22 13:42:16.072,760.00,56.64
2025-08-22 13:42:16.809,780.00,56.36
2025-08-22 13:42:17.955,770.00,55.97
2025-08-22 13:42:20.007,740.00,55.31
2025-08-22 13:42:20.750,700.00,54.79
2025-08-22 13:42:21.495,720.00,54.14
2025-08-22 13:42:22.151,700.00,51.76
2025-08-22 13:42:22.936,720.00,49.53
2025-08-22 13:42:23.593,716.00,47.84
2025-08-22 13:42:24.736,760.00,46.15
2025-08-22 13:42:25.261,830.00,44.59
2025-08-22 13:42:31.341,800.00,43.20
2025-08-22 13:42:32.217,830.00,42.17
2025-08-22 13:42:33.006,790.00,41.15
2025-08-22 13:42:35.541,770.00,40.28
2025-08-22 13:42:36.243,830.00,39.66
2025-08-22 13:42:37.118,820.00,39.51
2025-08-22 13:42:37.857,790.00,39.51
2025-08-22 13:42:38.731,800.00,39.83
2025-08-22 13:42:39.784,800.00,39.82
2025-08-22 13:42:40.218,810.00,39.64
2025-08-22 13:42:41.056,840.00,39.98
2025-08-22 13:42:41.971,840.00,40.00
2025-08-22 13:42:45.082,770.00,39.47
2025-08-22 13:42:45.863,790.00,38.79
2025-08-22 13:42:46.655,820.00,38.07
2025-08-22 13:42:47.922,810.00,37.18
2025-08-22 13:42:48.316,820.00,35.88
2025-08-22 13:42:49.363,790.00,34.52
2025-08-22 13:42:49.935,820.00,33.05
