时间,IBI,SDNN
2025-08-23 10:15:56.054,900.00,78.01
2025-08-23 10:15:56.841,790.00,80.69
2025-08-23 10:15:57.586,770.00,83.34
2025-08-23 10:15:58.285,710.00,86.01
2025-08-23 10:16:03.929,850.00,88.74
2025-08-23 10:16:04.672,730.00,90.92
2025-08-23 10:16:05.548,860.00,92.28
2025-08-23 10:16:06.423,890.00,93.78
2025-08-23 10:16:07.385,915.00,93.39
2025-08-23 10:16:08.217,850.00,92.60
2025-08-23 10:16:09.179,960.00,92.20
2025-08-23 10:16:10.274,1090.00,93.65
2025-08-23 10:16:12.854,830.00,94.36
2025-08-23 10:16:13.686,805.00,95.32
2025-08-23 10:16:14.561,840.00,95.29
2025-08-23 10:16:15.436,890.00,95.02
2025-08-23 10:16:16.311,870.00,94.65
2025-08-23 10:16:25.543,890.00,94.11
2025-08-23 10:16:26.375,780.00,93.08
2025-08-23 10:16:27.249,880.00,92.04
2025-08-23 10:16:27.949,710.00,91.24
2025-08-23 10:16:30.444,890.00,90.54
2025-08-23 10:16:31.363,930.00,89.68
2025-08-23 10:16:32.324,920.00,89.67
2025-08-23 10:16:36.481,830.00,89.78
2025-08-23 10:16:37.401,910.00,89.21
2025-08-23 10:16:38.319,930.00,85.55
2025-08-23 10:16:39.107,780.00,82.52
2025-08-23 10:16:39.938,830.00,79.75
2025-08-23 10:16:40.769,810.00,77.84
2025-08-23 10:16:41.644,890.00,75.95
2025-08-23 10:16:42.431,781.00,74.33
2025-08-23 10:16:43.265,785.00,72.97
2025-08-23 10:16:44.138,900.00,72.01
2025-08-23 10:16:44.926,780.00,71.18
2025-08-23 10:16:45.713,770.00,69.74
2025-08-23 10:16:46.588,845.00,68.23
2025-08-23 10:16:47.463,880.00,66.40
2025-08-23 10:16:48.338,780.00,64.43
2025-08-23 10:16:51.707,780.00,62.53
2025-08-23 10:16:54.376,890.00,60.68
2025-08-23 10:16:55.208,820.00,59.80
2025-08-23 10:16:59.801,700.00,59.28
2025-08-23 10:17:03.696,710.00,59.22
2025-08-23 10:17:04.484,760.00,59.16
2025-08-23 10:17:05.226,750.00,58.91
2025-08-23 10:17:05.884,670.00,59.00
2025-08-23 10:17:06.627,750.00,59.06
2025-08-23 10:17:07.415,770.00,58.70
2025-08-23 10:17:08.114,700.00,58.41
2025-08-23 10:17:11.615,640.00,59.12
2025-08-23 10:17:12.315,681.00,59.83
2025-08-23 10:17:13.015,699.00,60.24
2025-08-23 10:17:18.003,710.00,60.76
2025-08-23 10:17:18.747,720.00,61.09
2025-08-23 10:17:19.447,710.00,60.39
2025-08-23 10:17:20.234,710.00,59.54
2025-08-23 10:17:20.934,710.00,58.13
2025-08-23 10:17:26.010,680.00,56.40
2025-08-23 10:17:26.710,700.00,54.41
2025-08-23 10:17:27.454,760.00,52.70
2025-08-23 10:17:28.241,770.00,50.59
2025-08-23 10:17:29.205,980.00,51.11
2025-08-23 10:17:30.035,800.00,52.21
