时间,IBI,SDNN
2025-08-23 13:22:04.544,830.00,69.55
2025-08-23 13:22:05.331,800.00,66.25
2025-08-23 13:22:06.118,790.00,62.82
2025-08-23 13:22:06.905,730.00,59.21
2025-08-23 13:22:07.606,750.00,57.36
2025-08-23 13:22:08.393,720.00,56.71
2025-08-23 13:22:09.049,750.00,56.24
2025-08-23 13:22:09.968,850.00,55.69
2025-08-23 13:22:10.668,740.00,55.35
2025-08-23 13:22:11.456,820.00,54.99
2025-08-23 13:22:12.288,830.00,54.23
2025-08-23 13:22:13.118,800.00,52.76
2025-08-23 13:22:13.906,790.00,51.29
2025-08-23 13:22:16.137,730.00,50.52
2025-08-23 13:22:16.794,680.00,50.32
2025-08-23 13:22:17.538,686.00,50.27
2025-08-23 13:22:18.283,750.00,50.37
2025-08-23 13:22:19.025,721.00,50.42
2025-08-23 13:22:19.856,819.00,50.41
2025-08-23 13:22:20.688,790.00,50.56
2025-08-23 13:22:23.094,800.00,50.31
2025-08-23 13:22:23.881,800.00,49.94
2025-08-23 13:22:24.626,720.00,49.43
2025-08-23 13:22:25.414,760.00,48.83
2025-08-23 13:22:26.157,700.00,48.39
2025-08-23 13:22:26.944,720.00,48.09
2025-08-23 13:22:44.096,810.00,48.09
2025-08-23 13:22:44.883,760.00,48.12
2025-08-23 13:22:45.758,870.00,48.73
2025-08-23 13:22:46.633,766.00,48.82
2025-08-23 13:22:55.646,790.00,48.45
2025-08-23 13:23:01.246,811.00,48.18
2025-08-23 13:23:06.455,730.00,47.85
2025-08-23 13:23:07.240,800.00,47.33
2025-08-23 13:23:08.028,780.00,46.78
2025-08-23 13:23:08.860,820.00,46.36
2025-08-23 13:23:09.647,750.00,45.92
2025-08-23 13:23:11.922,700.00,45.78
2025-08-23 13:23:14.154,730.00,45.74
2025-08-23 13:23:14.943,800.00,45.46
2025-08-23 13:23:15.641,720.00,45.39
2025-08-23 13:23:16.560,840.00,45.41
2025-08-23 13:23:18.923,770.00,45.49
2025-08-23 13:23:31.217,710.00,44.71
2025-08-23 13:23:32.004,770.00,44.23
2025-08-23 13:23:34.280,710.00,44.17
2025-08-23 13:23:34.980,720.00,44.02
2025-08-23 13:23:35.680,670.00,44.24
2025-08-23 13:23:36.424,720.00,44.45
2025-08-23 13:23:37.168,770.00,44.64
2025-08-23 13:23:37.999,780.00,44.54
2025-08-23 13:23:38.831,840.00,44.87
2025-08-23 13:23:39.618,790.00,45.00
2025-08-23 13:23:41.849,681.00,45.28
2025-08-23 13:23:42.637,710.00,45.74
2025-08-23 13:23:43.292,586.00,47.12
2025-08-23 13:23:43.993,640.00,48.24
2025-08-23 13:23:49.943,690.00,49.32
2025-08-23 13:23:50.645,710.00,50.67
2025-08-23 13:24:00.401,660.00,52.03
2025-08-23 13:24:01.144,720.00,53.26
2025-08-23 13:24:01.888,730.00,54.56
2025-08-23 13:24:06.002,801.00,55.69
2025-08-23 13:24:06.789,740.00,56.92
2025-08-23 13:24:07.620,830.00,58.46
2025-08-23 13:24:08.320,690.00,60.17
2025-08-23 13:24:15.407,760.00,61.01
2025-08-23 13:24:16.239,870.00,62.51
2025-08-23 13:24:17.114,840.00,64.13
2025-08-23 13:24:17.858,700.00,65.81
2025-08-23 13:24:20.351,860.00,66.28
2025-08-23 13:24:27.440,690.00,66.59
2025-08-23 13:24:28.184,730.00,66.83
2025-08-23 13:24:28.970,800.00,67.06
2025-08-23 13:24:29.802,750.00,66.90
2025-08-23 13:24:30.590,870.00,66.98
2025-08-23 13:24:31.508,865.00,67.20
2025-08-23 13:24:37.022,720.00,67.38
2025-08-23 13:24:37.765,670.00,67.87
2025-08-23 13:24:38.510,740.00,68.01
2025-08-23 13:24:39.253,730.00,68.05
2025-08-23 13:24:40.084,736.00,68.58
2025-08-23 13:24:40.916,771.00,68.16
2025-08-23 13:24:41.572,729.00,67.22
2025-08-23 13:24:53.780,690.00,66.32
2025-08-23 13:24:54.654,710.00,65.33
2025-08-23 13:24:55.398,790.00,64.53
2025-08-23 13:25:11.499,770.00,63.84
2025-08-23 13:25:12.242,800.00,63.17
2025-08-23 13:25:13.118,880.00,63.41
2025-08-23 13:25:13.862,740.00,62.98
2025-08-23 13:25:16.268,739.00,61.87
2025-08-23 13:25:17.012,770.00,60.61
2025-08-23 13:25:17.755,750.00,58.69
2025-08-23 13:25:18.587,800.00,56.90
2025-08-23 13:25:19.419,770.00,55.22
2025-08-23 13:25:20.119,760.00,53.47
2025-08-23 13:25:20.862,780.00,52.07
2025-08-23 13:25:21.650,740.00,50.81
2025-08-23 13:25:22.394,770.00,49.18
2025-08-23 13:25:23.137,715.00,47.88
2025-08-23 13:25:23.924,780.00,46.64
2025-08-23 13:25:24.712,760.00,45.43
2025-08-23 13:25:25.456,660.00,44.75
2025-08-23 13:25:26.243,790.00,42.76
2025-08-23 13:25:27.076,770.00,41.19
2025-08-23 13:25:27.862,820.00,40.36
2025-08-23 13:25:28.737,790.00,39.59
2025-08-23 13:25:29.482,730.00,39.22
2025-08-23 13:25:32.151,890.00,39.51
2025-08-23 13:25:32.806,730.00,39.90
2025-08-23 13:25:33.683,840.00,40.56
2025-08-23 13:25:38.188,839.00,41.38
2025-08-23 13:25:39.020,796.00,42.20
2025-08-23 13:25:39.895,880.00,43.73
2025-08-23 13:25:40.813,910.00,45.56
2025-08-23 13:25:43.133,760.00,47.45
2025-08-23 13:25:43.876,790.00,49.28
2025-08-23 13:25:46.152,790.00,49.80
2025-08-23 13:25:46.895,730.00,51.33
2025-08-23 13:26:07.916,830.00,52.83
2025-08-23 13:26:17.697,720.00,54.40
