时间,IBI,SDNN
2025-08-23 15:18:48.969,970.00,77.67
2025-08-23 15:18:49.261,910.00,81.25
2025-08-23 15:18:50.218,880.00,85.08
2025-08-23 15:18:52.973,1190.00,89.68
2025-08-23 15:18:54.246,1160.00,94.58
2025-08-23 15:18:54.901,1090.00,99.23
2025-08-23 15:18:56.392,1150.00,104.11
2025-08-23 15:18:57.836,1110.00,109.12
2025-08-23 15:18:58.491,1200.00,114.71
2025-08-23 15:18:59.886,1030.00,120.33
2025-08-23 15:19:00.546,1060.00,122.56
2025-08-23 15:19:01.642,1080.00,124.87
2025-08-23 15:19:02.425,910.00,127.25
2025-08-23 15:19:03.259,880.00,130.13
2025-08-23 15:19:04.179,900.00,129.59
2025-08-23 15:19:05.228,1030.00,128.99
2025-08-23 15:19:06.760,1130.00,128.44
2025-08-23 15:19:08.202,1080.00,127.35
2025-08-23 15:19:08.643,1200.00,125.71
2025-08-23 15:19:09.953,1160.00,123.57
2025-08-23 15:19:10.963,1150.00,121.42
2025-08-23 15:19:11.920,1040.00,118.95
2025-08-23 15:19:13.498,1030.00,116.30
2025-08-23 15:19:14.193,1110.00,112.80
2025-08-23 15:19:14.986,920.00,109.80
2025-08-23 15:19:15.947,920.00,108.10
2025-08-23 15:19:16.954,950.00,106.47
2025-08-23 15:19:17.917,950.00,104.48
2025-08-23 15:19:18.836,930.00,101.91
2025-08-23 15:19:20.144,1030.00,100.41
2025-08-23 15:19:20.803,970.00,99.11
2025-08-23 15:19:21.676,930.00,98.05
2025-08-23 15:19:22.903,920.00,97.83
2025-08-23 15:19:23.556,880.00,96.97
2025-08-23 15:19:24.392,890.00,95.51
2025-08-23 15:19:25.838,900.00,92.99
2025-08-23 15:19:28.437,910.00,90.40
2025-08-23 15:19:29.030,960.00,87.59
2025-08-23 15:19:30.037,960.00,83.82
2025-08-23 15:19:31.126,950.00,79.67
2025-08-23 15:19:32.392,960.00,75.22
2025-08-23 15:19:32.923,910.00,70.72
2025-08-23 15:19:34.237,1040.00,66.92
2025-08-23 15:19:35.025,1010.00,63.60
