时间,IBI,SDNN
2025-08-24 14:25:04.672,590.00,50.31
2025-08-24 14:25:09.746,740.00,49.35
2025-08-24 14:25:10.491,695.00,48.05
2025-08-24 14:25:11.191,660.00,46.78
2025-08-24 14:25:18.584,610.00,45.44
2025-08-24 14:25:19.241,690.00,44.31
2025-08-24 14:25:31.448,700.00,43.06
2025-08-24 14:25:32.192,681.00,41.78
2025-08-24 14:25:42.168,641.00,40.87
2025-08-24 14:25:44.224,690.00,40.08
2025-08-24 14:25:45.012,710.00,39.52
2025-08-24 14:25:45.712,730.00,40.62
2025-08-24 14:25:46.499,730.00,41.44
2025-08-24 14:25:47.199,780.00,42.77
2025-08-24 14:25:48.074,890.00,45.20
2025-08-24 14:25:52.712,760.00,46.79
2025-08-24 14:25:54.987,600.00,48.59
2025-08-24 14:25:55.906,710.00,50.41
2025-08-24 14:25:56.343,590.00,52.55
2025-08-24 14:25:58.399,640.00,54.34
2025-08-24 14:25:59.099,720.00,56.13
2025-08-24 14:25:59.931,710.00,58.09
2025-08-24 14:26:00.543,680.00,60.06
2025-08-24 14:26:01.331,670.00,61.87
2025-08-24 14:26:01.943,700.00,63.71
2025-08-24 14:26:02.820,770.00,65.64
2025-08-24 14:26:03.388,690.00,67.45
2025-08-24 14:26:04.306,730.00,69.38
2025-08-24 14:26:04.743,620.00,70.91
2025-08-24 14:26:05.445,710.00,69.78
2025-08-24 14:26:06.144,610.00,68.98
2025-08-24 14:26:06.844,700.00,67.55
2025-08-24 14:26:07.545,660.00,66.11
2025-08-24 14:26:08.201,700.00,63.90
2025-08-24 14:26:09.031,820.00,62.47
2025-08-24 14:26:09.644,630.00,61.20
2025-08-24 14:26:10.344,690.00,59.92
2025-08-24 14:26:11.133,790.00,58.98
2025-08-24 14:26:11.875,740.00,58.16
2025-08-24 14:26:12.620,750.00,57.41
2025-08-24 14:26:13.363,760.00,56.51
2025-08-24 14:26:14.194,830.00,56.10
2025-08-24 14:26:15.025,780.00,55.81
2025-08-24 14:26:15.638,650.00,55.30
2025-08-24 14:26:16.339,700.00,56.19
2025-08-24 14:26:17.126,770.00,56.70
2025-08-24 14:26:17.826,690.00,57.51
2025-08-24 14:26:18.526,710.00,58.16
2025-08-24 14:26:19.269,760.00,59.20
2025-08-24 14:26:20.014,730.00,59.31
2025-08-24 14:26:22.026,709.00,58.79
2025-08-24 14:26:22.770,720.00,58.18
2025-08-24 14:26:23.470,711.00,57.10
2025-08-24 14:26:24.214,729.00,56.01
2025-08-24 14:26:24.914,720.00,54.84
2025-08-24 14:26:25.615,710.00,53.68
2025-08-24 14:26:26.315,690.00,51.41
2025-08-24 14:26:26.883,580.00,49.77
2025-08-24 14:26:27.539,640.00,48.37
2025-08-24 14:26:28.196,660.00,47.04
2025-08-24 14:26:28.807,565.00,46.64
2025-08-24 14:26:29.508,710.00,46.22
2025-08-24 14:26:30.078,530.00,46.84
2025-08-24 14:26:33.752,690.00,47.24
2025-08-24 14:26:34.453,720.00,47.90
2025-08-24 14:26:35.284,810.00,49.60
2025-08-24 14:26:37.164,650.00,51.36
2025-08-24 14:26:37.822,660.00,53.20
2025-08-24 14:26:39.833,630.00,54.96
2025-08-24 14:26:40.578,710.00,56.69
2025-08-24 14:26:41.321,720.00,58.49
2025-08-24 14:26:43.421,690.00,60.90
2025-08-24 14:26:44.165,740.00,62.47
2025-08-24 14:26:44.909,705.00,63.95
2025-08-24 14:26:45.610,730.00,65.40
2025-08-24 14:26:46.397,670.00,65.83
2025-08-24 14:26:47.009,700.00,66.23
2025-08-24 14:26:47.752,770.00,64.79
2025-08-24 14:26:48.409,630.00,63.85
2025-08-24 14:26:49.109,590.00,63.42
2025-08-24 14:26:49.722,690.00,61.79
2025-08-24 14:26:50.553,730.00,60.21
2025-08-24 14:26:51.210,720.00,58.65
2025-08-24 14:26:51.996,790.00,57.32
2025-08-24 14:26:52.653,660.00,56.10
