时间,IBI,SDNN
2025-08-25 16:49:44.649,970.00,37.14
2025-08-25 16:49:45.478,970.00,36.88
2025-08-25 16:49:46.398,920.00,36.66
2025-08-25 16:49:47.360,920.00,36.38
2025-08-25 16:49:48.234,910.00,35.56
2025-08-25 16:49:49.110,880.00,35.16
2025-08-25 16:49:50.072,930.00,34.87
2025-08-25 16:49:50.948,880.00,34.75
2025-08-25 16:49:51.911,960.00,34.74
2025-08-25 16:49:52.786,900.00,34.79
2025-08-25 16:49:53.704,900.00,34.82
2025-08-25 16:49:54.623,910.00,34.43
2025-08-25 16:49:55.498,900.00,34.34
2025-08-25 16:49:56.416,880.00,34.02
2025-08-25 16:49:57.335,890.00,33.60
2025-08-25 16:49:58.167,910.00,32.82
2025-08-25 16:49:59.086,900.00,31.58
2025-08-25 16:50:00.049,950.00,30.52
2025-08-25 16:50:00.792,740.00,31.14
2025-08-25 16:50:01.666,900.00,32.11
2025-08-25 16:50:02.543,880.00,33.25
2025-08-25 16:50:03.417,870.00,34.34
2025-08-25 16:50:04.293,890.00,35.27
2025-08-25 16:50:05.255,940.00,36.09
2025-08-25 16:50:06.260,990.00,37.29
2025-08-25 16:50:07.136,900.00,38.49
2025-08-25 16:50:07.924,780.00,40.35
2025-08-25 16:50:08.799,890.00,42.17
2025-08-25 16:50:09.763,920.00,44.05
2025-08-25 16:50:10.637,910.00,46.03
2025-08-25 16:50:11.511,870.00,48.27
2025-08-25 16:50:12.386,860.00,50.89
2025-08-25 16:50:13.262,870.00,53.17
2025-08-25 16:50:14.224,1000.00,53.42
2025-08-25 16:50:14.967,710.00,54.89
2025-08-25 16:50:15.799,850.00,56.39
2025-08-25 16:50:16.718,920.00,57.97
2025-08-25 16:50:17.593,870.00,59.55
2025-08-25 16:50:18.425,830.00,61.23
2025-08-25 16:50:21.138,920.00,62.12
2025-08-25 16:50:22.101,930.00,63.09
2025-08-25 16:50:22.931,890.00,63.22
2025-08-25 16:50:23.894,930.00,63.44
2025-08-25 16:50:24.813,950.00,63.73
2025-08-25 16:50:25.819,970.00,64.20
2025-08-25 16:50:26.650,860.00,64.70
2025-08-25 16:50:27.613,930.00,65.18
2025-08-25 16:50:28.531,960.00,65.93
2025-08-25 16:50:29.537,1000.00,67.08
2025-08-25 16:50:30.544,1010.00,65.88
2025-08-25 16:50:31.420,840.00,64.71
2025-08-25 16:50:32.338,950.00,63.55
2025-08-25 16:50:33.301,960.00,62.29
2025-08-25 16:50:36.144,920.00,60.59
2025-08-25 16:50:37.064,911.00,59.26
2025-08-25 16:50:37.983,919.00,57.87
2025-08-25 16:50:38.856,870.00,56.92
2025-08-25 16:50:39.732,890.00,55.97
2025-08-25 16:50:40.651,930.00,54.89
2025-08-25 16:50:41.527,830.00,53.90
2025-08-25 16:50:42.445,891.00,52.77
2025-08-25 16:50:43.233,779.00,52.38
2025-08-25 16:50:44.063,830.00,51.99
